
,	,
audited	vbn
audit	nn
August	np
availability	nn
available	jj
Ava	np
avantgarde	jj
a	vbp
avenue	nn
Avenue	np
avoid	vb
awake	jj
awakes	vbz
awake	vb
aware	jj
away	rb
away	rp
awful	jj
awkward	jj
awoken	vbn
awoke	vbd
awry	jj
ay	rb
Baba	nn
Baba's	np
babe	nn
babysitting	vbg
background	nn
back	nn
back	rb
back	rp
backup	jj
backwards	rb
bad	jj
bagel	nn
baggage	nn
bags	nns
Bahamas	nps
Bahn-Card	np
bail	vb
bail	vbp
bake	nn
balcony	nn
ball	nn
Baltimore	np
bank	nn
Barbados	np
Barbara	np
Barb	np
Barck	np
barely	rb
$B-$A-$R	ls
bar	nn
barrier	nn
bars	nns
Barth's	np
Barth's	pos
Bart	np
baseball	nn
based	vbn
basement	nn
Bashford	np
basically	rb
basic	jj
basketball	nn
bath	nn
bat	nn
Bavaria	np
beaches	nns
beach	nn
Bea	np
bear	nn
bears	vbz
bear	vb
bear	vbp
beaten	vbn
beats	vbz
beat	vb
beat	vbd
beautiful	jj
became	vbd
because	in
becomes	vbz
become	vb
become	vbn
becoming	vbg
bed	nn
beds	nns
Beehive	np
been	vbn
beer	nn
beers	nns
befallen	vbn
befalls	vbz
befall	vb
befell	vbd
beforehand	rb
before	in
before	rb
began	vbd
beginning	jj
beginning	nn
beginnings	nns
beginning	vbg
begins	vbz
begin	vb
begin	vbp
begun	vbn
beheld	vbd
beheld	vbn
behind	in
behind	rb
beholds	vbz
behold	vb
being	vbg
belay	vbp
believe	vb
believe	vbp
Bellefonte	np
$B-$E-$L-$L-$E	ls
Bell	np
$B-$E-$L	ls
bench	nn
bends	vbz
bend	vb
benefit	nn
Ben	np
bent	vbd
bent	vbn
Benz	np
Berg	np
Berlin	np
$B-$E-$R	ls
besets	vbz
beset	vb
beset	vbd
beset	vbn
beside	in
besides	in
best	jjs
best	rbs
Best-Western-Hotel	np
Best-Western	np
bes	vbz
bet	nn
bets	vbz
better	jjr
better	rbr
better	vb
better	vbp
bet	vb
bet	vbd
bet	vbn
bet	vbp
between	in
between	rb
be	vb
be	vbp
beyond	in
bids	vbz
bid	vb
bid	vbd
bid	vbn
Bier	np
bigger	jjr
biggest	jjs
big	jj
bikini	nn
billing	nn
bill	nn
Bill	np
bill	vbp
Billy-Joel	np
binds	vbz
bind	vb
birds	nns
birthday	nn
bis	fw
bistro	nn
bite	nn
bites	vbz
bite	vb
bit	nn
bitten	vbn
bit	vbd
black	jj
blame	vb
bleary	jj
bled	vbd
bleeds	vbz
bleed	vb
bleed	vbn
blew	vbd
blocked	vbn
block	nn
blocks	nns
block	vb
blonde	nn
blood	nn
blowing	vbg
blown	vbn
blows	vbz
blow	vb
$B	ls
board	nn
boat	nn
Bob	np
bobsledding	jj
Bob's	pos
body	nn
bone	nn
booked	vbd
booked	vbn
book	nn
book	vb
book	vbp
bore	vbd
boring	jj
borne	vbn
boss	nn
boss's	nn
Boston	np
both	dt
bother	vb
both	nn
both	pdt
bought	vbd
bought	vbn
bounds	nns
bound	vbd
bound	vbn
Bouquet	np
box	nn
boy	nn
boy	uh
Brack	np
brain	nn
branch	nn
brand-new	jj
breakfast	nn
breaking	vbg
break	nn
breaks	vbz
break	vb
breastfed	vbd
breastfeeds	vbz
breastfeed	vb
breastfeed	vbn
breathing	nn
bred	vbd
breeds	vbz
breed	vb
breed	vbn
Brian	np
bright	jj
brilliant	jj
bringing	vbg
brings	vbz
bring	vb
bring	vbp
British-Airways	nps
broadcasts	vbz
broadcast	vb
broadcast	vbd
broadcast	vbn
Broadhead	np
brochures	nns
broken	vbn
broke	vbd
brother	nn
Brothers	nps
brought	vbd
brought	vbn
browbeats	vbz
browbeat	vb
browbeat	vbd
browbeat	vbn
Bruenhilda	np
brunch	nn
$B-$U-$B	ls
Bub	np
Bub's	np
bu	cc
B"uchner	np
buddy	nn
budget	nn
buffer	nn
buffet	nn
buff	jj
B"uhne	np
building	nn
builds	vbz
build	vb
built	vbd
built	vbn
bulkier	jjr
bullet	nn
$B-$U	ls
bummer	uh
bunch	nn
Bundesbahn	np
Bunznudders	np
bureaucracy	nn
bureau	nn
$B-$U-$R-$G	ls
burned	vbn
burns	vbz
burnt	vbd
burnt	vbn
burn	vb
bursts	vbz
burst	vb
burst	vbd
burst	vbn
Busch	np
busier	jjr
businesses	nns
business-like	jj
business	nn
bus	nn
busted	vbn
busts	vbz
bust	vb
bust	vbd
busy	jj
but	cc
but	in
butt	nn
buying	vbg
buys	vbz
buy	vb
bye	nn
bye	uh
by	in
by	rp
cable	nn
cab	nn
cafe	nn
Cafe	np
cafeteria	nn
cafeterias	nns
cakes	nns
calculating	vbg
calculation	nn
calendar	nn
calendars	nns
California	np
called	vbd
called	vbn
calling	vbg
call	nn
call	vb
call	vbp
calm	jj
calories	nns
came	vbd
campus	nn
canceling	vbg
cancellation	nn
cancel	vb
Cancun	np
can	md
cannot	md
can't	md
Canyon	np
card	nn
cards	nns
care	nn
cares	vbz
care	vb
care	vbp
Carmen	np
car	nn
Carol	np
car-pool	vb
car-pool	vbp
carries	vbz
carry	vb
cars	nns
cart	nn
case	nn
cashier	nn
cash	nn
castle	nn
casts	vbz
cast	vb
cast	vbd
cast	vbn
catching	vbg
catchs	vbz
catch	vb
catch	vbp
catchy	jj
categories	nns
category	nn
Cats	nps
caught	vbd
caught	vbn
cause	in
CeBit	np
celebrate	vbp
celebrating	vbg
celebration	nn
center	nn
central	jj
centrally	rb
Central-Station	np
certain	jj
certainly	rb
certificates	nns
chain	nn
chairs	nns
Chalfant	np
chance	nn
changed	vbn
change	nn
changes	nns
changes	vbz
change	vb
changing	nn
changing	vbg
characteristics	nns
charge	nn
Charles	np
Charlotte	np
chased          vbd
chased          vbn
chases          vbz
chase           vb
chasing         vbg
cheaper	jjr
cheapest	jjs
cheap	jj
cheating	vbg
checked	vbd
checked	vbn
check-in-desk	nn
checking	vbg
check-in	nn
checkout	nn
checks	nns
checkup	nn
check	vb
check	vbp
cheers	uh
cheese  nn
cheese  nns
Chemicals	np
chicks	nns
children	nns
chill	vb
chimney	nn
Chinese	jj
Chinese	nn
Chinese	np
chiropractor	nn
$C-$H	ls
choice	nn
choices	nns
chooses	vbz
choose	vb
choose	vbp
choosing	vbg
chosen	vbn
chose	vbd
Chris	np
Christmas-Eve	np
Christmas	np
Christy	np
chunk	nn
church	nn
Cindy	np
cities	nns
citizen	nn
city	nn
City	np
clashing	vbg
clash	vb
clash	vbp
classes	nns
class	nn
Clay	np
cleaned	vbn
clean	jj
clearing	vbg
clear	jj
clear	vb
clear	vbp
cleaves	vbz
cleave	vb
cleft	vbd
cleft	vbn
Cleveland	np
Cliffside	np
clings	vbz
cling	vb
closed	vbn
closed  vbd
close	in
close	jj
closely	rb
close	nn
close	rb
closer	jjr
closer	rbr
closest	jjs
closest	rbs
closes	vbz
closet	nn
close	vb
close	vbp
closing	nn
clothes	nns
$C	ls
club	nn
clubs	nns
clues	nns
clung	vbd
clung	vbn
coca	nn
code	nn
coffee	nn
coincides	vbz
coincide	vb
coincide	vbp
coinciding	jj
cola	nn
cold	jj
cold	nn
Colgate	np
colleague	nn
colleagues	nns
collected	vbn
collection	nn
Colleen	np
college	nn
Colorado	np
Columbus	np
comes	vbz
come	vb
come	vbn
come	vbp
comfortable	jj
comfortably	rb
comfort	nn
coming	jj
coming	vbg
commitments	nns
committed	vbn
committee	nn
commuting	nn
companies	nns
company	nn
Compaq	np
comparable	jj
compared	vbn
compare	vb
compatible	jj
compile	vb
complain	vb
complete	jj
completely	rb
complete	vb
complicated	jj
compromise	nn
computer	nn
conceivably	rb
concentrate	vb
concerned	jj
concerned	vbn
concerning	vbg
concern	nn
concerns	nns
concert	nn
concierge	fw
conclude	vb
conclusion	nn
concrete	jj
condo	nn
conducted	vbn
conductor	nn
conduct	vb
conference	nn
conferences	nns
confirmation	nn
confirmed	vbn
confirm	vb
conflicting	jj
conflict	nn
conflicts	nns
conflicts	vbz
conflict	vbp
confused	jj
confused	vbn
confusing	jj
congratulations	nns
connected	vbn
connecting	nn
connection	nn
connections	nns
connect	vb
Connie	np
consecutive	jj
considerably	rb
consideration	nn
considered	vbn
considering	vbg
consider	vb
consider	vbp
consistently	rb
conspiracy	nn
conspiring	vbg
constitutes	vbz
constraint	nn
constraints	nns
construction	nn
consult	vb
contact	nn
contact	vb
contact	vbp
continental	jj
continue	vb
continue	vbp
contract	nn
convenient	jj
conveniently	rb
convention	nn
conversation	nn
converting	vbg
cookies	nns
cool	jj
cool	uh
coordinated	vbn
coordinate	vb
copious	jj
corner	nn
corporate	jj
correct	jj
correctly	rb
costed	vbd
costed	vbn
cost	nn
costs	nns
costs	vbz
cost	vb
cost	vbp
couch	nn
could	md
couldn't	md
couldn't	vbp
counting	vbg
country	nn
counts	vbz
count	vb
county	nn
County	np
couple	nn
course	nn
Courtney	np
court	nn
covered	vbn
covers	vbz
cover	vb
cover	vbp
crack	nn
Craig	np
Cramer	np
crap	nn
crappy	jj
cream	nn
credit	nn
creeps	vbz
creep	vb
crept	vbd
crept	vbn
crew	nn
crib	vb
Cristal	np
critiques	nns
$C-$R	ls
crowded	jj
crucial	jj
$C-$S	jj
$C-$S	np
cuisine	nn
cultural	jj
culture	nn
curious	jj
current	jj
currently	rb
custom	nn
customs	nns
cute	jj
cut	jj
cut-off	nn
cuts	vbz
cutting	vbg
cut	vb
cut	vbd
cut	vbn
cut	vbp
Cyert	np
dad	nn
daily	jj
daily	rb
$D-$A	ls
Dammtor	np
Dana	np
dance	nn
danke	uh
Dan	np
Danny	np
Darlene	np
darn	uh
Daryl	np
database	nn
data	nn
date	nn
dates	nns
daughter	nn
Dave	np
day-dreaming	vbg
daylight	nn
day	nn
Day	nn
days	nns
daytime	nn
$D-$C	np
deadline	nn
deadlines	nns
deadly	jj
deaf	jj
deal	nn
deals	nns
deals	vbz
dealt	vbd
dealt	vbn
deal	vb
Debbie	np
deceivingly	rb
December	np
decent	jj
decently	rb
decided	vbd
decided	vbn
decide	vb
decide	vbp
decision	nn
decisive	jj
decrease	vb
define	vb
definitely	rb
deja	fw
delayed	vbn
delay	vb
delightful	jj
$D-$E	ls
Denny	np
Denny's	np
dental	jj
dentist	nn
Denver	np
deny	vb
departing	vbg
departmental	jj
department	nn
departure	nn
departures	nns
depart	vb
depart	vbp
depending	vbg
depends	vbz
Der-Talismann	np
deserve	vbp
designers	nns
desk	nn
despite	in
detail	nn
details	nns
determine	vb
Detroit	np
Deutschland	np
Deutsch	np
development	nn
Deville's	np
$D-$E-$V-$I-$L	ls
Devil	np
Dewitt	np
dial	vb
dictionary	nn
didn't	vbd
did	vbd
die	dt
diem	fw
Dienstag	np
diet	nn
die	vb
difference	nn
differences	nns
different	jj
differ	vbp
difficult	jj
difficulty	nn
digs	vbz
dig	vb
Diminitello's	np
Diner	nn
Diners-Club	np
dinner	nn
directions	nns
direct	jj
directly	rb
director	nn
disappointment	nn
discontinued	vbd
discount	nn
discussed	vbn
discussing	vbg
discussion	nn
discuss	vb
discuss	vbp
disk	nn
distance	nn
distracted	vbn
district	nn
disturbed	jj
dived	vbd
dived	vbn
dives	vbz
dive	vb
$D-marks	nns
$D	nn
doable	jj
doc	nn
doctor	nn
doctor's	nn
documentation	nn
documents	nns
doesn't	vbz
does	vbz
dog	nn
dogs	nns
cat     nn
cats    nns
Doherty	np
doing	vbg
doke	uh
Dolamore	np
dollars	nns
Domino's	np
donate	vb
donating	vbg
done	vbn
Don-Giovanni	np
don't	vbp
donuts	nns
Doom	np
door	nn
dorm	nn
Dortmund	np
dos	vbz
double-check	vb
double	jj
double	nn
double-sized	jj
doubles	nns
doubt	vbp
doughnuts	nns
do	vb
do	vbp
down	in
down-payment	nn
down	rb
down	rp
downstairs	rb
downtown	rb
drabs	nns
drags	vbz
drank	vbd
drawn	vbn
draws	vbz
draw	vb
dreadfully	rb
dreams	vbz
dreamt	vbd
dreamt	vbn
dream	vb
Dresden	np
drew	vbd
dribbling	nn
dribs	nns
drinking	vbg
drink	nn
drinks	nns
drinks	vbz
drink	vb
drive	nn
driven	vbn
driver	nn
drivers	nns
drives	vbz
drive	vb
drive	vbp
Dr	np
drop	vb
drove	vbd
drunk	vbn
dry	jj
$D	sym
$D-$T	ls
due	in
due	jj
dug	vbd
dug	vbn
dull	nn
dumb	jj
duration	nn
during	in
duty	nn
dwells	vbz
dwell	vb
dwelt	vbd
dwelt	vbn
each	dt
each	nn
earlier	jjr
earlier	rbr
earliest	jjs
early	jj
early	rb
ear	nn
earthly	jj
easier	jjr
easiest	jjs
easily	rb
eastern	jj
Eastern	jj
east	nn
East	np
easy	jj
eaten	vbn
eatery	nn
eating	vbg
Eat'n	np
eats	vbz
eat	vb
eat	vbp
economical	jj
economize	vb
economy	nn
$E-$D-$A	ls
edible	jj
effectively	rb
effect	nn
efficient	jj
$E-$H	ls
eight	cd
eighteen	cd
eighteenth	jj
eighth	jj
eightish	cd
eight	jj
eighty	cd
$E-$I-$N	ls
either	cc
either	dt
either	nn
either	rb
Eleanor	np
elevator	nn
elevators	nns
eleven	cd
eleven	jj
eleventh	jj
$E	ls
else	rb
elsewhere	rb
e-mail	nn
email	nn
e-mails	nns
e-mail	vb
email	vb
embarrassing	jj
Emerson	np
empty	jj
encouraging	jj
ending	vbg
end	nn
ends	vbz
end	vb
energy	nn
engaged	vbn
engagement	nn
engagements	nns
English	jj
enjoyable	jj
enjoyed	vbd
enjoyed	vbn
enjoy	vb
enjoy	vbp
$E-$N	ls
e	nn
enough	jj
enough	rb
entertainer	nn
entertaining	jj
entertainment	nn
enticing	jj
entire	jj
entirely	rb
entrance	nn
entry	nn
envy	nn
$E-$N-$Y	ls
equal	jj
Ernst-August-Platz	np
errors	nns
especially	rb
essentially	rb
estimate	vbp
etcetera	fw
Eugene	np
Euro	np
European	jj
Europe	np
Euros	nps
Eva-and-Adele	np
evaluation	nn
Eva	np
Eva-und-Adele	np
evening	nn
evenings	nns
Eve	nn
Eve	np
even	rb
event	nn
events	nns
eventually	rb
Everman	np
ever	rb
everybody	nn
everyday	nn
every	dt
everyone	nn
everything	nn
everywhere	rb
evident	jj
exact	jj
exactly	rb
example	nn
example	vbn
excellent	jj
excellent	uh
except	in
excepting	vbg
exception	nn
exchange	nn
exchange	vb
exchange	vbp
excited	jj
excited	vbn
exciting	jj
excuse	vbp
exercise	nn
exercise	vbp
exercising	vbg
ex-girlfriend	nn
exhausted	jj
exhausted	vbn
exhibition	nn
exhibitions	nns
exhibit	nn
exhibits	nns
expecting	vbg
expect	vb
expect	vbp
expedition	nn
expense	nn
expenses	nns
expensing	vbg
expensive	jj
experience	nn
experiences	nns
experiment	nn
expert	nn
explore	vb
exploring	vbg
expo	nn
Expo	np
exposure	nn
express	jj
express	nn
extended	jj
extended	vbn
extend	vb
extension	nn
extensive	jj
extent	nn
extra	jj
extremely	rb
ex-wife	nn
eyed	vbn
$E-$Y	ls
fabulous	jj
faced	vbn
face	nn
facilities	nns
fact	nn
factor	vb
faculty	nn
fairgrounds	nns
fair	jj
fairly	rb
fair	nn
fallen	vbn
fall	nn
falls	vbz
fall	vb
fall	vbp
$F-$A	ls
familiar	jj
family	nn
fantastic	jj
fantastic	uh
$F-$A-$N-$T	ls
fare	nn
farewell	uh
far	jj
far	rb
faster	jjr
fastest	jjs
fast	jj
fast	rb
favorite	jj
favorites	nns
favor	nn
fax	nn
fax	vb
fear	vbp
feasible	jj
feature	nn
features	nns
February	np
fed	vbd
feeds	vbz
feed	vb
feed	vbn
feeling	nn
feels	vbz
feel	vb
feel	vbp
fell	vbd
Felsenburg	np
felt	vbd
felt	vbn
few	jj
fifteen	cd
fifteenth	cd
fifteenth	jj
fifth	jj
Fifth	np
fifty	cd
fight	nn
fights	vbz
fight	vb
figured	vbd
figured	vbn
figure	vb
figure	vbp
figuring	vbg
filled	vbn
fill	vbp
Filofax	np
finagle	vb
finalize	vb
final	jj
finally	rb
final	nn
findings	nns
finding	vbg
finds	vbz
find	vb
find	vbp
fine	jj
fine	rb
finer	jjr
fine	uh
finished	vbd
finished	vbn
finishing	jj
finishing	vbg
finish	vb
finish	vbp
fired	vbn
firm	nn
firms	nns
first	jj
first	rb
Fischlein	np
fishing	vbg
fish	nn
fit	jj
fitness	nn
fits	vbz
fitting	vbg
fit	vb
fit	vbd
fit	vbn
five	cd
fixed	vbn
fix	nn
fix	vb
flat	jj
fled	vbd
fled	vbn
flees	vbz
flee	vb
flew	vbd
flexibility	nn
flexible	jj
flies   vbz
flight	nn
flights	nns
flings	vbz
fling	vb
flip	nn
floats	vbz
floor	nn
floors	nns
flop	nn
Florida	np
flown	vbn
$F	ls
flung	vbd
flung	vbn
flyer	nn
flying	vbg
fly	nn
flys	vbz
fly	vb
fly	vbp
F	np
focused	vbn
folks	nns
following	jj
following	vbg
follow-up	nn
fond	jj
$F-$O-$N-$T-$E	ls
food	nn
fool	nn
football	nn
footing	vbg
foot	nn
forbade	vbd
Forbes	np
forbidden	vbn
forbids	vbz
forbid	vb
forecasts	vbz
forecast	vb
forecast	vbd
forecast	vbn
foregone	vbn
foregos	vbz
forego	vb
foresaw	vbd
foreseen	vbn
foresees	vbz
foresee	vb
foretells	vbz
foretell	vb
foretold	vbd
foretold	vbn
forever	rb
forewent	vbd
forgave	vbd
forgets	vbz
forget	vb
forget	vbp
forgiven	vbn
forgives	vbz
forgive	vb
forgotten	vbn
forgot	vbd
for	in
format	nn
form	nn
forms	nns
forsaken	vbn
forsakes	vbz
forsake	vb
forsook	vbd
forth	rb
fortunately	rb
forty	cd
(for	vbd
forward	rb
forward	vb
fought	vbd
fought	vbn
found	vbd
found	vbn
four	cd
fourteen	cd
fourteenth	jj
fourth	jj
fragmented	vbn
frame	nn
France	np
Francisco	np
Frankfurt	np
frankly	rb
Frau	np
Fred's	pos
freedom	nn
free	jj
freer	jjr
free	vb
freezes	vbz
freeze	vb
frequent	jj
fresh	jj
fretting	vbg
Freyburg	np
Friday	np
Fridays	nns
Fridays	nps
friend	nn
friends	nns
frightening	jj
frills	nns
Fritzsche	np
fr	jj
$F-$R	ls
from	in
front	nn
frothy	jj
frozen	vbn
froze	vbd
frugal	jj
frustrating	jj
fuck	vb
full	jj
fully	rb
functional	jj
funding	nn
funds	nns
fun	nn
funny	jj
further	jjr
further	rbr
$F-$U-$R-$U-$I	ls
Furui	np
Furui's	np
future	nn
gaining	vbg
gain	vb
gain	vbp
Galerie-am-Stift	np
Galerie-Stift	np
gallery	nn
$G-$A	ls
game	nn
gap	nn
garage	nn
gardening	nn
Garden	np
Gary	np
gate	nn
gather	vb
gave	vbd
Gavula	np
gear	nn
gee	uh
geez	uh
GEMA	np
general	jj
generally	rb
general	nn
genital	jj
gentleman	nn
Georgengarten	np
Georg	np
Gerald	np
gerbils	nns
Gerhard	np
German	jj
German	nn
German	np
Germans	nps
Germany	np
gets	vbz
getting	vbg
get	vb
get	vbp
$G-$H	ls
gift	nn
Gilbert	np
Gillian	np
Gina	np
Ginkinspiel	np
girlfriend's	nn
Girst	np
given	vbn
gives	vbz
give	vb
give	vbp
giving	vbg
Gizla	np
glad	jj
gladly	rb
goals	nns
god	nn
god	np
God	np
god	uh
$G-$O-$E-$H	ls
Goehring	np
$G-$O-$E	ls
goes	vbz
Goettman	np
going	vbg
gold	jj
golfed	vbn
golfing	vbg
golf	nn
$G-$O	ls
gone	vbn
go	nn
goodbye	uh
good	jj
goodness	nn
goodness	uh
good	uh
gosh	uh
gos	vbz
gotten	vbn
got	vbd
got	vbn
goulash	nn
go	vb
go	vbp
government	nn
grab	vb
grab	vbp
grammar	nn
grand	jj
Grand	np
granted	vbn
graphic	nn
grasp	nn
grease	nn
great	jj
Great	np
great	uh
green	jj
greetings	nns
Greg	np
grew	vbd
Griechstrasse	np
Gries	np
grill	nn
Grill	np
grind	nn
grinds	vbz
grind	vb
$G-$R	ls
Groth-Heine	np
Groth	np
ground	nn
grounds	nns
ground	vbd
ground	vbn
group	nn
grown	vbn
grows	vbz
grow	vb
Gr"ubchen-an-der-Marktkirche	np
Gr"ubchen-at-the-market-church	np
Gr"ubchen-at-the-market	np
Guerma	np
guessing	vbg
guess	vb
guess	vbp
guide	nn
Gullifty	np
gum	uh
guru	nn
guy	nn
guys	nns
hacked	vbn
hadn't	vbd
had	vbd
had	vbn
haggard	jj
haircut	nn
hair	nn
half	jj
half	nn
half	pdt
hall	nn
Hall	np
Halloween	np
halls	nns
hallway	nn
halter	nn
halves	nns
hamburgers	nns
Hamburg	np
hammer	vb
handle	vb
hand	nn
hand	vb
handy	jj
hanger	nn
hangs	vbz
hang	vb
hang	vbp
$H-$A-$N-$N-$A	ls
Hannover	np
Hanovarians	np
Hanover	np
Hanseatics	np
Hans	np
happened	vbd
happening	nn
happening	vbg
happens	vbz
happen	vb
happen	vbp
happily	rb
happy	jj
hard	jj
$H-$A-$R-$P	ls
Harp	np
hash	vbp
hasty	jj
h"as	uh
has	vbz
hate	vb
hate	vbp
ha	uh
haul	nn
haven't	vbp
haves	vbz
have	vb
have	vbp
having	vbg
Hawaii	np
hay	nn
headed	vbn
heading	vbg
head	nn
head	vb
healthy	jj
heard	vbd
heard	vbn
hearing	vbg
hears	vbz
hear	vb
hear	vbp
heavily	rb
heck	nn
heck	uh
hectic	jj
heed	vb
Heidi	np
Heine	np
held	vbd
held	vbn
hell	nn
hello	nn
hello	uh
Helman	np
Helmuit	np
help	nn
helps	vbz
help	vb
$H-$E	ls
Helwig	np
Hemmingway's	np
hepatitis	nn
he	pp
Herald	np
here	rb
Hermann	np
herpes	nn
her	pp
her	pp$
Herr	fw
Herrmann	np
Herr	np
hers	pp$
Hertz	np
hey	uh
hidden	vbn
hides	vbz
hide	vb
hid	vbd
high	jj
Highlander	np
highly	rb
high	rb
Hillary	np
Hilton	np
him	pp
hip	jj
hired	vbd
his	pp$
hits	vbz
hit	vb
hit	vbd
hit	vbn
hit	vbp
hi	uh
$H-$L	ls
$H	ls
hm	uh
holder's	nn
hold	nn
holds	vbz
hold	vb
hold	vbp
holes	nns
holiday	nn
holidays	nns
holy	jj
home	nn
home	rb
home	rp
honest	jj
honestly	rb
honks	vbz
honk	vb
hooked	vbn
hook	vb
hoot	nn
hopefully	rb
hope	vb
hope	vbp
hoping	vbg
hopping	nn
Horke	np
horn	nn
horrendous	jj
horrible	jj
Horst	np
hosers	uh
hospital	nn
Hospitz-am-Bahnhof	np
Hospitz-at-the-station	np
hotel	nn
Hotel	nn
Hotel	np
hotels	nns
hotel-wise	rb
hot	jj
Houlihan	np
hourly	rb
hour	nn
hours	nns
house	nn
however	rb
how	wrb
huge	jj
huh	uh
human	nn
humid	jj
humor	vb
hundred	cd
hundreds	nns
hungry	jj
hung	vbd
hung	vbn
hurry	nn
hurry	vbp
hurts	vbz
hurt	vb
hurt	vbd
hurt	vbn
husband	nn
Hutsell	np
hydrobiology	nn
hyphen	nn
Ian	np
$I-$B-$M	nn
ice	nn
$I-$C-$E	np
$I-$D-$A	ls
ideal	jj
ideally	rb
idea	nn
ideas	nns
identify	vb
id	vbn
$I-$E-$S	ls
if	in
Iida	np
ike	nn
$I	ls
I	ls
imagine	vbp
immediately	rb
imperative	jj
important	jj
impossible	jj
impressed	vbn
impression	nn
improbability	nn
impromptu	jj
includes	vbz
include	vb
including	vbg
inconvenient	jj
increase	vb
incredible	jj
indeed	rb
indefinite	jj
independently	rb
Indian	jj
indifferent	jj
individual	jj
indoor	jj
inexpensive	jj
informal	jj
information	nn
informations	nns
informative	jj
in	in
in-laws	nns
Inn	np
inputs	vbz
input	vb
input	vbd
input	vbn
inquire	vb
in	rb
in	rp
insets	vbz
inset	vb
inset	vbd
inset	vbn
inside	in
inside	rb
insist	vbp
instead	in
instead	rb
insult	nn
interact	jj
interbred	vbd
interbreeds	vbz
interbreed	vb
interbreed	vbn
Intercity-Restaurant	np
interested	jj
interested	vbn
interesting	jj
interest	nn
interests	nns
interests	vbz
international	jj
interspersed	vbn
intervention	nn
interview	nn
interview	vb
interweaves	vbz
interweave	vb
interwoven	vbn
interwove	vbd
into	in
introduced	vbn
investing	vbg
invited	vbn
inviting	jj
$I-$O	ls
I	pp
Ireland	np
Irish-Over	np
irrelevant	jj
irritating	jj
island	nn
isn't	vbz
issue	nn
issues	nns
ist	nn
is	vbz
Italian	jj
Italian	np
it	pp
It	pp
itself	pp
its	pp$
Jackie	np
jacuzzi	nn
Jag	np
Jakob-and-Adele	np
James	np
jammed	jj
jammed	vbn
jam	nn
Janet	np
January	np
Japan	np
ja	uh
Jay	np
jazz	nn
Jenifer	np
